Articulo;EAN;Descripcion;Vigencia;Marca;Stock;FechBloqBasico;BloqCanalJumbo;FechBloqCanalJumbo;BloqCanalSisa;FechBloqCanalSisa;BloqCanalJSuper;FechBloqCanalJSuper;01 Ful A;02 Ful B;03 Meg A;04 Meg B;05 PREF_GR;06 PREF_ME;07 PREF_PE;08 CMED_GR;09 CMED_ME;10 CMED_PE;11 CPAL_ME;12 CPAL_PE;13 CPBA_ME;14 CPBA_PE;15 MIXT_GR;16 MIXT_ME;17 MIXT_PE;18 EMER_GR;19 EMER_ME;20 EMER_PE;21 PREF_MINI;22 CMED_MINI;23 CPAL_MINI;24 CPBA_MINI;25 MIXT_MINI;26 EMER_MINI
303136;7802800575275;NECTAR YUZ L.V. MULTIFRUTA 200CC;Vigente;YUZ;673;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
565616;7802800553204;*REFRESCO YUPI MIX DURAZ-PAPAY 20GR;Vigente;YUPI;433;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
916190;7802800574612;JUGO INST. TANG ZERO NARANJA 8 GR;Vigente;TANG;235;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;1;1;1;1;1;1
1056130;7802800574155;ESTUCHE GO TANG BLUE 180 GR;Vigente;LIVEAN;787;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1056128;7802800574117;ESTUCHE GO TANG NARANJA 30 GR;Vigente;TANG;326;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1056129;7802800574131;ESTUCHE GO TANG FRUT. TROP 180 GR;Vigente;TANG;276;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1220231;7802800586813;JUGO INST. LIVEAN TE NEGRO DURAZNO 7 GR;Vigente;LIVEAN;159;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1237163;7802800586882;JUGO INST. LIVEAN TROPICO MARACUYA 7G;Vigente;LIVEAN;157;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1237164;7802800586899;*JUGO INST. LIVEAN TROPICO GUAYABA 7G;Vigente;LIVEAN;642;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1237168;7802800570324;JUGOS INST TANG LIMON DULCE 45G;Vigente;TANG;67;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1353724;7802800544349;NECTAR LIVEAN TETRA PI„A 200 CC;Vigente;LIVEAN;633;0;;;;;;;1;1;1;1;;;;;;;;;;;1;;;;;;;;;;;
1391052;7802800570218;BEBIDA TANG 168X45 KIWI;Vigente;TANG;529;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1391053;7802800570393;BEBIDA TANG 168X45 ARANDANO ROJO;Vigente;TANG;547;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1391055;7802800586318;BEBIDAS INST LIVEAN LIMONADA TRADIC;Vigente;LIVEAN;778;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
